dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
91,4,32,0.9010989010989011,0.9002415458937199,0.9113704071499504,2,7,0.0031778812408447266,1831.5,0.978021978021978,0.9791208791208791,0.978021978021978,2,5,0.0003960132598876953,1831.5
102,4,32,0.9019607843137255,0.9019607843137255,0.9180327868852459,2,5,0.0024347305297851562,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,3,9,0.00055694580078125,1831.5
114,4,32,0.9035087719298246,0.9020935960591132,0.9147348364560177,2,7,0.0036232471466064453,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,3,9,0.0006210803985595703,1831.5
11,4,64,0.9090909090909091,0.45454545454545453,0.5,0,1,2.1457672119140625e-06,1831.5,0.9090909090909091,0.8264462809917354,0.9090909090909091,0,1,0.00016808509826660156,1831.5
22,4,64,0.6818181818181818,0.3409090909090909,0.5,0,1,1.9073486328125e-06,1831.5,0.6818181818181818,0.4648760330578512,0.6818181818181818,0,1,0.00015997886657714844,1831.5
34,4,64,0.6470588235294118,0.3235294117647059,0.5,0,1,4.0531158447265625e-06,1831.5,0.6470588235294118,0.41868512110726647,0.6470588235294118,0,1,0.0001590251922607422,1831.5
45,4,64,0.6222222222222222,0.3111111111111111,0.5,0,1,3.814697265625e-06,1831.5,0.6222222222222222,0.38716049382716056,0.6222222222222222,0,1,0.0001609325408935547,1831.5
57,4,64,0.6140350877192983,0.30701754385964913,0.5,0,1,5.245208740234375e-06,1831.5,0.6140350877192983,0.3770390889504463,0.6140350877192983,0,1,0.00015997886657714844,1831.5
68,4,64,0.9117647058823529,0.9117647058823529,0.925,1,3,0.0011429786682128906,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,1,3,0.00026106834411621094,1831.5
79,4,64,0.8860759493670886,0.8849358974358974,0.8992686170212766,1,3,0.0012350082397460938,1831.5,0.9240506329113924,0.9326486744685933,0.9240506329113924,1,3,0.0002849102020263672,1831.5
91,4,64,0.9010989010989011,0.9002415458937199,0.9113704071499504,1,3,0.001336812973022461,1831.5,0.9340659340659341,0.9407710933134662,0.9340659340659341,1,3,0.00029587745666503906,1831.5
102,4,64,0.9019607843137255,0.9019607843137255,0.9180327868852459,1,3,0.0014548301696777344,1831.5,0.9803921568627451,0.9803921568627451,0.9803921568627451,2,5,0.00041103363037109375,1831.5
114,4,64,0.9035087719298246,0.9020935960591132,0.9147348364560177,1,3,0.0015728473663330078,1831.5,0.9824561403508771,0.9824561403508771,0.9824561403508771,3,7,0.0005381107330322266,1831.5
11,6,2,1.0,1.0,1.0,3,7,0.0016639232635498047,1831.5,1.0,1.0,1.0,1,3,0.00017905235290527344,1831.5
22,6,2,1.0,1.0,1.0,4,9,0.002440929412841797,1831.5,1.0,1.0,1.0,1,3,0.00021576881408691406,1831.5
34,6,2,1.0,1.0,1.0,5,11,0.0031261444091796875,1831.5,1.0,1.0,1.0,2,5,0.0002541542053222656,1831.5
45,6,2,1.0,1.0,1.0,5,11,0.0033092498779296875,1831.5,1.0,1.0,1.0,2,7,0.0002980232238769531,1831.5
57,6,2,1.0,1.0,1.0,5,11,0.003512144088745117,1831.5,1.0,1.0,1.0,4,9,0.00030803680419921875,1831.5
68,6,2,1.0,1.0,1.0,6,13,0.004220247268676758,1831.5,1.0,1.0,1.0,4,9,0.00032806396484375,1831.5
